timestamp,price,demand,demand_total
2023-04-15 00:05:00,-46.90000,1500.65,1512.300000
2023-04-15 00:10:00,-46.90000,1496.82,1509.490000
2023-04-15 00:15:00,-46.90000,1487.98,1500.690000
2023-04-15 00:20:00,-46.90000,1494.40,1505.880000
2023-04-15 00:25:00,-46.90000,1487.83,1504.190000
2023-04-15 00:30:00,-46.90000,1491.82,1503.580000
2023-04-15 00:35:00,-46.90000,1528.38,1539.790000
2023-04-15 00:40:00,-46.90000,1512.05,1523.350000
2023-04-15 00:45:00,-46.90000,1492.56,1503.900000
2023-04-15 00:50:00,-46.90000,1504.91,1516.170000
2023-04-15 00:55:00,-46.90000,1476.76,1489.540000
2023-04-15 01:00:00,-48.50000,1467.50,1478.510000
2023-04-15 01:05:00,-48.50000,1468.04,1484.550000
2023-04-15 01:10:00,-48.50000,1441.19,1456.900000
2023-04-15 01:15:00,-48.50000,1440.92,1452.540000
2023-04-15 01:20:00,-48.50000,1412.59,1424.330000
2023-04-15 01:25:00,-48.50000,1409.31,1420.960000
2023-04-15 01:30:00,-48.50000,1387.60,1399.380000
2023-04-15 01:35:00,-48.50000,1379.85,1391.670000
2023-04-15 01:40:00,-50.00000,1368.48,1380.430000
2023-04-15 01:45:00,-50.00000,1366.99,1378.700000
2023-04-15 01:50:00,-50.00000,1353.34,1365.640000
2023-04-15 01:55:00,-50.00000,1345.58,1357.570000
2023-04-15 02:00:00,-50.00000,1337.29,1349.330000
2023-04-15 02:05:00,-50.00000,1326.03,1337.120000
2023-04-15 02:10:00,-50.00000,1325.22,1336.530000
2023-04-15 02:15:00,-50.00000,1319.74,1332.150000
2023-04-15 02:20:00,-50.00000,1305.00,1355.540000
2023-04-15 02:25:00,-50.00000,1300.51,1314.130000
2023-04-15 02:30:00,-50.00000,1300.34,1310.780000
2023-04-15 02:35:00,-50.00000,1283.46,1294.910000
2023-04-15 02:40:00,-49.75000,1281.22,1327.700000
2023-04-15 02:45:00,-52.17000,1280.21,1303.150000
2023-04-15 02:50:00,-71.30000,1287.59,1300.300000
2023-04-15 02:55:00,-50.00000,1280.96,1298.390000
2023-04-15 03:00:00,-50.00000,1269.45,1279.940000
2023-04-15 03:05:00,-50.00000,1261.46,1273.920000
2023-04-15 03:10:00,-50.00000,1266.73,1277.310000
2023-04-15 03:15:00,-50.00000,1229.40,1245.200000
2023-04-15 03:20:00,-50.00000,1226.18,1237.030000
2023-04-15 03:25:00,-50.00000,1230.10,1261.990000
